mapping_version	backend	canonical_kernel_name	shared_kernel_id	family_contract_display_id	semantic_operation_id	kernel_owner_cell_key	member_count
v1	westmere	toWellFormedUTF16LE	shared-kernel-v1-b2ad41412e9b8e341408b5f06701bbb836d255cc3e0ceb48be3c2cf4deba0711	FC-v1-helper-validation	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	cell-v1-f40a30d9ab02f9ce63abb1f2c7ace0def0ea247b047aa1ef9ced40d73c8cb302	1
v1	westmere	countUTF16BE	shared-kernel-v1-b4345eb2883dcc7923cea49da2054faf7948001d0b8e492b669ce3be0bec353a	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-1e2862eed8a7d9ea5cc628497cb0a97a7c7af026eb1aa93479532b4fc615179d	1
v1	westmere	convertUTF16LEToLatin1	shared-kernel-v1-c3ab71095807f1888f358bfd79b79ce7eda7f5459e6115804d3c395acfde52b0	FC-v1-utf16-source	op-v1-23e074688c6da1c3d0e4e2753a70d2f71051002554b52104e12d3ab4ad6edb82	cell-v1-7675a1015ce4a597aa5aee745821c024068602dbcd70aa38c83eb046feb8ff08	2
v1	westmere	detectEncodings	shared-kernel-v1-c599ce3cde8b09e1080bdb87057325a2317dc24470870c389c902a817150ea2d	FC-v1-detection	op-v1-8bf5280de3f19b673c2a0021cc5bd4e7d81ea47005039910cedb58431cb8b159	cell-v1-43046ebf5e307f3442cc384e544a9e43e359e0d4601b23a590a181ad5807db93	1
v1	westmere	convertUTF16BEToUTF8WithReplacement	shared-kernel-v1-ce630264a58dae14815cdca599d80afe2eef5b15a842a941d4f48f36b183adf6	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-a2c7512a55559eca1630f7945e39494e53e0f1fc9cda3f4f56303abafb0fa99c	1
v1	westmere	convertUTF16LEToUTF8	shared-kernel-v1-dab7c2a6aec0c61dde49aff6d294105b5c7c93ee39d717b8d2651acd719f72e4	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-2fdfe86498e6a32cd63be550fd6cfaff8b9c4ff930571a05dc2cc7be73257cb9	2
v1	westmere	utf32LengthFromUTF16BE	shared-kernel-v1-def9a0d62d461d778be9f81314f07a95fce546f3e7c1ad49073a8c34266e98f1	FC-v1-utf16-source	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	cell-v1-63559b10a965b2ddd2f2da16a59ad3f897707002a389ac639836284ab8110c75	1
v1	westmere	utf8LengthFromLatin1	shared-kernel-v1-e753994b2895389b4ef9b3d7ecf0d4ad88dd9c649e293730b717e201db7d6f85	FC-v1-latin1-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-2a21818f3119863b43c71aae9bbca4eb0c08a0e4851681568be06a2ce365db2d	1
v1	westmere	convertUTF8ToLatin1	shared-kernel-v1-eb2bf3516d9415312fc5af14f63878abc085c9dab45a5da2fea27d17d2c1d414	FC-v1-utf8-source	op-v1-9faf24b0d77040758b655ad10726a067ac785521ef338911bbc14377e4cd1124	cell-v1-184115d1ead5595b28392037d334563c5e54f7cdacdfda3f91591608d8364bdb	1
v1	westmere	convertUTF16BEToLatin1WithErrors	shared-kernel-v1-f177eaf5d76815db6a0a68af54351cb092f80ded8c097b214f4a2e611eae89f7	FC-v1-utf16-source	op-v1-23e074688c6da1c3d0e4e2753a70d2f71051002554b52104e12d3ab4ad6edb82	cell-v1-69984c985922eda96edc21b298368e28c533f292cf6076e22f6cdf3d52334016	1
v1	westmere	validateUTF16BEWithErrors	shared-kernel-v1-f62922119e23750fa9cff5197f4bd51b9b0daac1ebed10025cab3e07e7d41303	FC-v1-helper-validation	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	cell-v1-4fc0ee819f69d5fdbebf70417203348fc56831040a4208504114f990fee4a34a	1
v1	westmere	countUTF16LE	shared-kernel-v1-f8e02c9e2d47b5c7237063fc89f8b1372bd683d7a11dddef2871ebca1c4c3ac8	FC-v1-utf16-source	op-v1-f16145af648802b565b96f95a0b48d81e4b24c8a3e638548cb6d147d331ebf1b	cell-v1-733cb32c33c036cf5c82d072f353973bf949c862c3c49c0832ed72f03696aafc	1
v1	westmere	convertUTF16LEToUTF32	shared-kernel-v1-faadb3e611f0353796365ab0213ae6f5c15271ec3c771c43548b2cefd30045fd	FC-v1-utf16-source	op-v1-6eea92180fce34d88c932293380df3d76d366c3edd7e0ec5957e9ab46316c226	cell-v1-10e54865cd9bafa934e88bd924666caf563823defacf660c8e7719ceae906ee4	2
v1	westmere	convertValidUTF8ToLatin1	shared-kernel-v1-fb3f715c33da0d379a0ec3bb3f74104060a7ef58fb6cc8aa592382543afc150c	FC-v1-utf8-source	op-v1-9faf24b0d77040758b655ad10726a067ac785521ef338911bbc14377e4cd1124	cell-v1-9282d239c5ac034f38a7d509a23b4d3fc2dbd4d2d5189f93b58f4197004c6bbc	1
v1	westmere	binaryToBase64	shared-kernel-v1-fd1d39d9fecd1c2fa0faa639ef3cc3d9cbdaef5e0f51711e7732b1959f6a8085	FC-v1-base64	op-v1-848432663386540ad98bd7928ec1b28e69d62fd64d15c46ba10443166210a11b	cell-v1-017a4080a7bdf4ffb235a1a5b9b4cba9c52739ac8b30011ef90c2cebbe5ae593	1
v1	westmere	convertUTF16LEToUTF8WithErrors	shared-kernel-v1-fdc792d61d1a024f83b37870e357405a520c1f37c208ac45c6be82365b2c817f	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-28f8b001cc7425d27feb8ed48e4b2103a5ed2db1111f2e1fab3754f8c5cffd37	1
v1	westmere	utf8LengthFromUTF16BE	shared-kernel-v1-fea278ee38692de51a6c774c242b7e24c255a44bc0a2c8a8d3546191f8eafd40	FC-v1-utf16-source	op-v1-9dd40313a0fd1522ac7e341f3e47da0e7df68fd14fd7ecab7030f2497b9685d4	cell-v1-bc948bd6f31cb2a7651f27c8ebf5367f74a46eab4c968385d07c1746f79814a2	1
